poem_slug,author_name,poem_title,poem_link,line_index,line_text,correct_last_word,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,no_choices,target_pos
alexander-pope-an-essay-on-man-epistle-i,Alexander Pope,An Essay on Man: Epistle I,https://www.poetryfoundation.org/poems/44899/an-essay-on-man-epistle-i,0,Hope springs eternal in the human breast:,breast:,west:,quest:,rest:,zest:,breast:,guest:,False,NOUN
alexander-pope-an-essay-on-man-epistle-i,Alexander Pope,An Essay on Man: Epistle I,https://www.poetryfoundation.org/poems/44899/an-essay-on-man-epistle-i,1,"Man never is, but always to be blest:",blest:,lest:,nest:,best:,blest:,,,False,ADJ
alexander-pope-an-essay-on-man-epistle-i,Alexander Pope,An Essay on Man: Epistle I,https://www.poetryfoundation.org/poems/44899/an-essay-on-man-epistle-i,2,"The soul, uneasy and confin'd from home,","home,","roam,","dome,","home,","foam,","comb,","rome,",False,NOUN
alexander-pope-an-essay-on-man-epistle-i,Alexander Pope,An Essay on Man: Epistle I,https://www.poetryfoundation.org/poems/44899/an-essay-on-man-epistle-i,3,Rests and expatiates in a life to come.,come.,,,,,,,True,VERB
alexander-pope-an-essay-on-man-epistle-i,Alexander Pope,An Essay on Man: Epistle I,https://www.poetryfoundation.org/poems/44899/an-essay-on-man-epistle-i,4,"Lo! the poor Indian, whose untutor'd mind",mind,blind,kind,mind,,,,False,NOUN
alexander-pope-an-essay-on-man-epistle-i,Alexander Pope,An Essay on Man: Epistle I,https://www.poetryfoundation.org/poems/44899/an-essay-on-man-epistle-i,5,"Sees God in clouds, or hears him in the wind;",wind;,wind;,kind;,blind;,,,,False,NOUN
alexander-pope-an-essay-on-man-epistle-i,Alexander Pope,An Essay on Man: Epistle I,https://www.poetryfoundation.org/poems/44899/an-essay-on-man-epistle-i,6,"His soul, proud science never taught to stray",stray,say,stray,,,,,False,VERB
alexander-pope-an-essay-on-man-epistle-i,Alexander Pope,An Essay on Man: Epistle I,https://www.poetryfoundation.org/poems/44899/an-essay-on-man-epistle-i,7,"Far as the solar walk, or milky way;",way;,pay;,ray;,ole;,gray;,way;,sway;,False,NOUN
alfred-lord-tennyson-in-memoriam-ahh-1849,Alfred Lord Tennyson,In Memoriam A.H.H. 1849,https://poets.org/poem/memoriam-h-h-obiit-mdcccxxxiii-27,0,The heart that never plighted troth,troth,growth,oath,troth,,,,False,NOUN
alfred-lord-tennyson-in-memoriam-ahh-1849,Alfred Lord Tennyson,In Memoriam A.H.H. 1849,https://poets.org/poem/memoriam-h-h-obiit-mdcccxxxiii-27,1,"      But stagnates in the weeds of sloth,","sloth,","sloth,","growth,","oath,",,,,False,NOUN
